"관리번호","주차장명","주차장형태","운영방식","주차장위치","주차면수","유,무료","급지"," 시간당주차요금 "," 전일주차(5시간 이상) ","월 정기권","평일운영시간","동절기운영시간","토요일 운영시간","일요일운영시간","비고"
"1","동서울호텔길 A","노상","직영","광진구 구의강변로 38(구의동) 일대","45","유료","2급지","3000","NA","100000","09:00~19:00","09:00~18:00","09:00~15:00","무료개방","공영"
"2","동서울호텔길 A","노상","직영","광진구 구의강변로 38(구의동) 일대","47","유료","2급지","3000","NA","100000","09:00~19:00","09:00~18:00","09:00~15:00","무료개방","공영"
"3","송림식당길 A","노상","직영","광진구 자양3동 712 일대","85","유료","2급지","2400","NA","90000","09:00~19:00","09:00~18:00","09:00~15:00","무료개방","공영"
"4","송림식당길 B","노상","직영","광진구 자양동 581-2 일대","17","유료","2급지","2400","NA","90000","09:00~19:00","09:00~18:00","09:00~15:00","무료개방","공영"
"5","광진광장","노외","직영","광진구 광나루로 389(군자동)","36","유료","2급지","3000","NA","120000","24시간","24시간","24시간","24시간","공영"
"6","자양4동","노외","직영","광진구 자양4동 5-5","86","유료","4급지","1800","NA","NA","24시간","24시간","24시간","24시간","거주자+공영"
"7","구의1동","노외","직영","광진구 자양로18길 78(구의동)","172","유료","2급지","1800","NA","NA","24시간","24시간","24시간","24시간","거주자+공영"
"8","구의3동","노외","직영","광진구 광나루52길 83(구의동)","160","유료","4급지","1800","NA","NA","24시간","24시간","24시간","24시간","거주자+공영"
"9","능동","노외","직영","광진구 천호대로 112길 56(능동)","77","유료","4급지","900","NA","NA","24시간","24시간","24시간","24시간","거주자+공영"
"10","중곡3동 마을공원","노외","직영","광진구 용마산로 33길 25(중곡동)","163","유료","5급지","900","NA","NA","24시간","24시간","24시간","24시간","거주자+공영"
"11","자양동 유수지","노외","직영","광진구 뚝섬로52길 74","289","유료","4급지","1800","NA","NA","24시간","24시간","24시간","24시간","거주자+공영"
"12","화양동","노외","민간위탁","광진구 군자로 6길 56","44","유료","4급지","1800","NA","80000","24시간","24시간","24시간","24시간","공영"
"13","중곡복개천 A","노상","민간위탁","광진구 긴고랑로 68 중곡우체국 일대","35","유료","2급지","2400","NA","100000","09:00~19:00","09:00~18:00","09:00~15:00","무료개방","공영"
"14","중곡복개천 B","노상","민간위탁","광진구 긴고랑로 68 중곡우체국 일대","44","유료","2급지","2400","NA","100000","09:00~19:00","09:00~18:00","09:00~15:00","무료개방","공영"
"15","신성시장길","노상","민간위탁","광진구 영화사로 10(중곡동) 일대","38","유료","2급지","3000","NA","100000","09:00~19:00","09:00~18:00","09:00~15:00","무료개방","공영"
