상세위치,수량,경도,위도,동명
중마초등학교,1,127.08074,37.56520483,중곡3동
강변역(동서울터미널),2,127.0934054,37.53535165,구의3동
강변역(동서울터미널),1,127.0941846,37.53453766,구의3동
건대입구역,2,127.0702007,37.53973082,자양4동
건대입구역,1,127.07051,37.54033696,화양동
건대입구역,1,127.0712168,37.53899994,자양3동
아차산역,2,127.0897224,37.55259654,중곡4동
광장초등학교,1,127.1023293,37.54699826,광장동
광진초등학교,1,127.0888423,37.54865217,구의2동
구의초등학교,1,127.0838212,37.54094542,구의1동
동자초등학교,1,127.071275,37.53430592,자양3동
성자초등학교,1,127.0823175,37.53158984,자양1동
성자초등학교,1,127.0826339,37.53161932,자양1동
세종초등학교,1,127.0728765,37.55302432,군자동
신양초등학교,1,127.070078,37.53502636,자양3동
양진초등학교,1,127.0938485,37.54268963,구의3동
자양초등학교,1,127.0790048,37.53784443,자양1동
장안초등학교,1,127.0710582,37.54997351,군자동
중광초등학교,1,127.0831723,37.56439475,중곡3동
화양초등학교,1,127.0719117,37.54319529,화양동
광진초등학교,1,127.091121,37.544829,구의2동
광진구청,1,127.0835786,37.53857377,자양1동
광진구청,1,127.0830522,37.53812817,자양1동
대원외고 인근,1,127.0871314,37.56368652,중곡4동
대원외고 인근,1,127.0872368,37.56338999,중곡4동
용곡초 인근,1,127.0869231,37.56498243,중곡4동
용마초 인근,1,127.0880975,37.55777408,중곡4동
구남초 앞,1,127.0925958,37.53586805,구의3동
광진소방서 앞,1,127.0827779,37.54482988,구의1동
동의초교 앞,1,127.0988538,37.55369368,구의2동
영화유치원 앞,1,127.0977177,37.55405445,구의2동
구남초등학교,1,127.09312,37.53726,구의3동
동자초등학교,1,127.07546,37.5333,자양3동
용곡초 인근,1,127.085871,37.568252,중곡3동
자양사거리,4,127.08377,37.53652,자양2동
올림픽대교북단 사거리,4,127.0963,37.54112,광장동
군자역 사거리,2,127.07982,37.55722,중곡2동
중곡역 사거리,2,127.08457,37.56631,중곡3동
구남초(일동후디스),2,127.09302,37.53726,구의3동
군자교 사거리,2,127.07406,37.55949,중곡1동
삼성아파트 삼거리,2,127.09435,37.54014,광장동
어린이대공원 정문 앞,1,127.07535,37.54927,군자동
구의사거리,4,127.08331,37.53908,자양1동
청구이화유치원 사거리,1,127.0942,37.54279,광장동
중곡사거리,4,127.08769,37.55934,중곡4동
용마맨션 앞,1,127.08647,37.56633,중곡4동
노루페인트 앞,1,127.08548,37.5605,중곡2동
신양초등학교 사거리,1,127.068253,37.534953,자양3동
중곡1동사거리,4,127.079792,37.563149,중곡1동
국민은행 자양동지점,4,127.07968,37.531974,자양2동
광진경찰서,1,127.083715,37.543104,구의1동
서문도장,1,127.080517,37.537172,자양1동
우성1차아파트,1,127.074575,37.534374,자양3동
온아치과의원,1,127.070941,37.549569,군자동
한양연립,4,127.090339,37.5347,구의3동
새마을금고 구의3동지점,4,127.091298,37.534625,구의3동
조은빌딩,1,127.071223,37.554514,군자동
