동명,시설명,주차면수 소계,주차요금 5분당,경도,위도
중곡1동,중곡제일전통시장 공영,21,250원,127.081744,37.5638634
중곡2동,장신구,22,0,127.084,37.5564016
중곡2동,중곡동복개천,78,200원,127.086222,37.5601391
중곡3동,중곡3동마을공원,162,75원 ,127.08466,37.569907
중곡3동,중곡체육센터,6,0,127.084782,37.5677625
중곡4동,신성시장길,33,250원,127.089886,37.5572893
중곡4동,새오름,7,0,127.090864,37.5613791
중곡4동,용마산남,25,0,127.092061,37.5591167
중곡4동,긴고랑길공영,53,0,127.094478,37.563863
중곡4동,해오름,20,0,127.091651,37.5570357
중곡4동,뻥튀기골주차장(용마공원주차장),18,0,127.089378,37.5683178
중곡4동,중곡4동 599-6 인근,9,0,127.089358,37.570282
중곡4동,한림대부지,8,0,127.08888,37.5683452
능동,능동공영,77,150원,127.080217,37.5540256
능동,능동공동,25,0,127.079673,37.5530619
구의1동,구의1동 공영,172,150원,127.087849,37.5382528
구의1동,구의번영,34,0,127.08901,37.5442346
구의2동,구의2동 주택가공동,90,75원,127.092823,37.5529173
구의2동,광문학당,12,0,127.090237,37.5479277
구의2동,공원(동의초인근),11,0,127.097339,37.5533101
구의3동,동서울길 공영,94,250원,127.091634,37.5331504
구의3동,구의3동 공영,159,150원,127.091347,37.5391332
구의3동,올림픽대교(시영),19,0,127.098904,37.5387758
광장동,세촌,7,0,127.105526,37.548627
광장동,광장공동 ,8,0,127.101528,37.5464231
광장동,큰나루,13,0,127.110315,37.5503166
자양1동,자양전통시장 공영,24,250원,127.081576,37.5337793
자양2동,유수지,281,150원,127.078268,37.5295198
자양3동,송림식당길,94,200원,127.076033,37.5344317
자양4동,자양4동 공영,86,150원,127.068162,37.5386621
자양4동,행복제2,53,0,127.066308,37.5400056
화양동,느티나무(화양공동),27,0,127.071247,37.546598
화양동,화양동 공영,44,150원,127.071155,37.5452826
화양동,화양동 마을마당,6,0,127.075229,37.5450549
군자동,군자동 공영,53,0,127.076913,37.5540548
군자동,광진광장 공영,36,250원,127.735722,34.7421598
