연번,시도명,자치구명,연월,전기차 등록대수
1,서울특별시,광진구,2018-01,48
2,서울특별시,광진구,2018-02,46
3,서울특별시,광진구,2018-03,65
4,서울특별시,광진구,2018-04,68
5,서울특별시,광진구,2018-05,74
6,서울특별시,광진구,2018-06,84
7,서울특별시,광진구,2018-07,91
8,서울특별시,광진구,2018-08,96
9,서울특별시,광진구,2018-09,103
10,서울특별시,광진구,2018-10,113
11,서울특별시,광진구,2018-11,117
12,서울특별시,광진구,2018-12,123
13,서울특별시,광진구,2019-01,123
14,서울특별시,광진구,2019-02,126
15,서울특별시,광진구,2019-03,137
16,서울특별시,광진구,2019-04,138
17,서울특별시,광진구,2019-05,145
18,서울특별시,광진구,2019-06,157
19,서울특별시,광진구,2019-07,167
20,서울특별시,광진구,2019-08,166
21,서울특별시,광진구,2019-09,168
22,서울특별시,광진구,2019-10,165
23,서울특별시,광진구,2019-11,182
24,서울특별시,광진구,2019-12,191
25,서울특별시,광진구,2020-01,197
26,서울특별시,광진구,2020-02,228
27,서울특별시,광진구,2020-03,244
28,서울특별시,광진구,2020-04,250
29,서울특별시,광진구,2020-05,259
30,서울특별시,광진구,2020-06,271
31,서울특별시,광진구,2020-07,281
32,서울특별시,광진구,2020-08,281
33,서울특별시,광진구,2020-09,297
34,서울특별시,광진구,2020-10,298
35,서울특별시,광진구,2020-11,299
36,서울특별시,광진구,2020-12,304
37,서울특별시,광진구,2021-01,300
38,서울특별시,광진구,2021-02,306
39,서울특별시,광진구,2021-03,346
40,서울특별시,광진구,2021-04,361
41,서울특별시,광진구,2021-05,386
42,서울특별시,광진구,2021-06,435
43,서울특별시,광진구,2021-07,442
44,서울특별시,광진구,2021-08,471
45,서울특별시,광진구,2021-09,504
46,서울특별시,광진구,2021-10,519
47,서울특별시,광진구,2021-11,568
48,서울특별시,광진구,2021-12,590
