시설명,시설구분,x좌표,y좌표,동명
어린이회관유치원,유치원,127.074938,37.547599,능동
현정유치원,유치원,127.088898,37.5444779,구의1동
수정어린이집,어린이집,127.069405,37.5490588,군자동
구의초등학교,초등학교,127.080862,37.5427357,화양동
구의병설유치원,유치원,127.080862,37.5427357,화양동
신나는어린이집,어린이집,127.088679,37.5413336,구의1동
구의3동어린이집,어린이집,127.095092,37.5393285,구의3동
좋은어린이집,어린이집,127.090189,37.5361518,구의3동
세종초등학교,초등학교,127.074103,37.5506778,군자동
장안초등학교,초등학교,127.071975,37.5499313,군자동
화양초등학교,초등학교,127.071188,37.5441834,화양동
동심유치원,유치원,127.07261,37.5512553,군자동
키즈용맹(구.하은)어린이집,어린이집,127.091076,37.5585678,중곡4동
아이조아유치원,유치원,127.080456,37.5661978,중곡3동
중광초등학교,초등학교,127.082413,37.5651063,중곡3동
미예뜰어린이집,어린이집,127.080524,37.5663149,중곡3동
신양초등학교,초등학교,127.069165,37.53458,자양3동
인애유치원,유치원,127.068361,37.5337876,자양3동
으뜸어린이집,어린이집,127.071131,37.5308667,자양3동
동서울유치원,유치원,127.081117,37.5703779,중곡3동
선양유치원,유치원,127.071153,37.5542836,군자동
예아랑어린이집,어린이집,127.080325,37.5707929,중곡3동
중곡샛별어린이집,어린이집,127.080156,37.5709462,중곡3동
중마초등학교,초등학교,127.079788,37.5658649,중곡3동
아이세계어린이집,어린이집,127.062175,37.5360884,자양4동
경하유치원,유치원,127.078193,37.5661272,중곡3동
상명어린이집,어린이집,127.0814,37.5699273,중곡3동
대원(구.우성)유치원,유치원,127.075558,37.5343959,자양3동
성수아름유치원,유치원,127.062378,37.5363586,자양4동
동자초등학교,초등학교,127.07196,37.5347135,자양3동
성산유치원,유치원,127.084121,37.5328856,자양1동
정신유치원,유치원,127.064619,37.5372585,자양4동
한일유치원,유치원,127.071655,37.535002,자양3동
선린어린이집,어린이집,127.07696,37.5334039,자양1동
성자초등학교,초등학교,127.083078,37.5311564,자양2동
꿈동산몬테소리어린이집,어린이집,127.076043,37.5557942,군자동
선미유치원,유치원,127.073022,37.5562106,군자동
윤진유치원,유치원,127.065043,37.5427273,화양동
자양초등학교,초등학교,127.07952,37.5368171,자양1동
자양병설유치원,유치원,127.07952,37.5368171,자양1동
자양하나유치원,유치원,127.078572,37.5387999,자양1동
자양도담유치원,유치원,127.079882,37.5361951,자양1동
명성어린이집,어린이집,127.086233,37.540092,구의1동
미파유치원,유치원,127.08586,37.5702215,중곡3동
용곡초등학교,초등학교,127.088539,37.5668228,중곡4동
성심어린이집,어린이집,127.084962,37.5565811,중곡2동
신자초등학교,초등학교,127.075169,37.5301164,자양2동
신자병설유치원,유치원,127.075169,37.5301164,자양2동
한국켄트외국인학교,외국인학교,127.085993,37.5472731,구의2동
자양유치원,유치원,127.083734,37.531192,자양2동
자양어린이집,어린이집,127.075206,37.5328825,자양3동
예일유치원,유치원,127.082757,37.5582765,중곡2동
용마초등학교,초등학교,127.08416,37.5580143,중곡2동
예지어린이집,어린이집,127.073453,37.5572014,군자동
능동어린이집,어린이집,127.081926,37.5535559,능동
경복초등학교,초등학교,127.08732,37.5502364,구의2동
선화유치원,유치원,127.08732,37.5502364,구의2동
프라임유치원,유치원,127.098236,37.5378934,구의3동
양진병설유치원,유치원,127.096242,37.544266,광장동
양진초등학교,초등학교,127.098222,37.5445067,광장동
광장초등학교,초등학교,127.101327,37.5481531,광장동
광장유치원,유치원,127.105198,37.5484381,광장동
구남초등학교,초등학교,127.092272,37.5368079,구의3동
우리티움아이어린이집,어린이집,127.090816,37.5401517,구의3동
양남초등학교,초등학교,127.089707,37.5307282,자양2동
선경유치원,유치원,127.089506,37.5329177,자양2동
양남병설유치원,유치원,127.089707,37.5307282,자양2동
보성유치원,유치원,127.104251,37.5431771,광장동
광남초등학교,초등학교,127.10091,37.5408014,광장동
청구이화유치원,유치원,127.096273,37.542454,광장동
샬롬유치원,유치원,127.091622,37.5424577,구의3동
사랑의어린이집,어린이집,127.097108,37.5410298,광장동
광남유치원,유치원,127.098579,37.5406051,광장동
영화유치원,유치원,127.097623,37.5540667,구의2동
동의초등학교,초등학교,127.098742,37.5534351,구의2동
경원유치원,유치원,127.096107,37.5548698,구의2동
슬기유치원,유치원,127.092584,37.5520525,구의2동
광진초등학교,초등학교,127.09121,37.5475846,구의2동
구의2동어린이집,어린이집,127.096237,37.5501756,구의2동
성동초등학교,초등학교,127.089506,37.5329177,자양2동
