동명,시설명,주차면수 소계,주차요금 종일,경도,위도
10100,중곡제일전통시장 공영,21,30000,127.081744,37.5638634
10100,장신구,22,50000,127.084,37.5564016
10100,중곡동복개천,78,100000,127.086222,37.5601391
10100,중곡3동마을공원,162,50000,127.08466,37.569907
10100,중곡체육센터,6,50000,127.084782,37.5677625
10100,신성시장길,33,100000,127.089886,37.5572893
10100,새오름,7,50000,127.090864,37.5613791
10100,용마산남,25,50000,127.092061,37.5591167
10100,긴고랑길공영,53,50000,127.094478,37.563863
10100,해오름,20,50000,127.091651,37.5570357
10100,뻥튀기골주차장(용마공원주차장),18,50000,127.089378,37.5683178
10100,중곡4동 599-6 인근,9,50000,127.089358,37.570282
10100,한림대부지,8,50000,127.08888,37.5683452
10200,능동공영,77,50000,127.080217,37.5540256
10200,능동공동,25,50000,127.079673,37.5530619
10300,구의1동 공영,172,80000,127.087849,37.5382528
10300,구의번영,34,50000,127.08901,37.5442346
10300,구의2동 주택가공동,90,50000,127.092823,37.5529173
10300,광문학당,12,50000,127.090237,37.5479277
10300,공원(동의초인근),11,40000,127.097339,37.5533101
10300,동서울길 공영,94,100000,127.091634,37.5331504
10300,구의3동 공영,159,80000,127.091347,37.5391332
10300,올림픽대교(시영),19,40000,127.098904,37.5387758
10400,세촌,7,40000,127.105526,37.548627
10400,광장공동 ,8,50000,127.101528,37.5464231
10400,큰나루,13,100000,127.110315,37.5503166
10500,자양전통시장 공영,24,30000,127.081576,37.5337793
10500,유수지,281,50000,127.078268,37.5295198
10500,송림식당길,94,90000,127.076033,37.5344317
10500,자양4동 공영,86,100000,127.068162,37.5386621
10500,행복제2,53,50000,127.066308,37.5400056
10700,느티나무(화양공동),27,50000,127.071247,37.546598
10700,화양동 공영,44,80000,127.071155,37.5452826
10700,화양동 마을마당,6,50000,127.075229,37.5450549
10900,군자동 공영,53,50000,127.076913,37.5540548
10900,광진광장 공영,36,120000,127.735722,34.7421598
