주차장이름(pl_nm),주차면수-평면식(pl_area_plane),1일(전일)금액(pl_allday_pass_amt),법정동코드(bemd_code),경도(longitude),위도(latitude)
중곡2동주차장,22.0,0.0,10100,127.084,37.556402
새오름,6.0,0.0,10100,127.090848,37.561311
중곡4동주차장,19.0,0.0,10100,127.091839,37.557057
용마산남측거주자주차장,25.0,0.0,10100,127.092091,37.55921
중곡3동주민센터,22.0,0.0,10100,127.079924,37.568681
중곡3동마을공원공영주차장,0.0,0.0,10100,127.084697,37.569931
중곡4동599-6인근,9.0,0.0,10100,127.088248,37.570184
뻥튀기골주차장,18.0,0.0,10100,127.089369,37.568217
긴고랑길공영주차장,53.0,0.0,10100,127.095161,37.560814
중곡시장주차장,19.0,0.0,10100,127.081991,37.563872
파크유료주차장,38.0,0.0,10100,127.076984,37.559764
중곡체육센터,6.0,0.0,10100,127.08502,37.568026
대공원주차장,30.0,0.0,10100,127.089477,37.553072
국민은행중곡동지점노외공영주차장,10.0,15000.0,10100,127.087328,37.559311
중곡,6.0,0.0,10100,127.076261,37.558722
중곡동유료민영주차장,18.0,15000.0,10100,127.077659,37.564978
능동공영주차장,0.0,0.0,10200,127.080258,37.554039
능동주차장,0.0,0.0,10200,127.079597,37.55322
행복민영주차장,15.0,25000.0,10200,127.086139,37.5542
자투리땅제16호,2.0,0.0,10200,127.080552,37.553303
동의초인근공원,10.0,0.0,10300,127.097339,37.55331
동서울공영주차장,29.0,0.0,10300,127.091341,37.533502
구의1동공영주차장,0.0,0.0,10300,127.087892,37.538282
구의1동공용주차장,34.0,0.0,10300,127.089037,37.544191
광문학당,12.0,0.0,10300,127.09032,37.547887
구의3동공영주차장,0.0,80000.0,10300,127.09139,37.539123
구의유료주차장,34.0,22000.0,10300,127.083728,37.538682
구의2동주택가공동주차장,78.0,0.0,10300,127.092849,37.552971
자투리땅제15호,5.0,0.0,10300,127.083069,37.541522
광진구소능경로문화센터,13.0,0.0,10300,127.085878,37.54749
창성주차장,20.0,0.0,10300,127.090741,37.551173
세촌,7.0,0.0,10400,127.105434,37.54862
광장공동,9.0,0.0,10400,127.101627,37.546419
자양2동유수지공영주차장,246.0,50000.0,10500,127.077664,37.529691
자양4동공영주차장,86.0,100000.0,10500,127.068253,37.538677
유료주차장,9.0,0.0,10500,127.086056,37.532908
쿠팡,60.0,0.0,10500,127.087491,37.530436
구유료주차장,29.0,0.0,10500,127.081048,37.536417
자양전통시장공영주차장,28.0,0.0,10500,127.081634,37.533763
영동주차장,27.0,20000.0,10500,127.061215,37.536557
뚝섬한강공원제4주차장,138.0,0.0,10500,127.065129,37.531392
뚝섬한강공원2주차장,356.0,10000.0,10500,127.073786,37.527838
자투리땅제14호,2.0,0.0,10500,127.06217,37.535457
행복제2주차장,52.0,0.0,10500,127.066369,37.539942
자양유료주차장,15.0,15000.0,10500,127.080517,37.53496
AGIT카페,0.0,0.0,10500,127.078393,37.534097
삼정주차장,15.0,18000.0,10500,127.076106,37.531982
뚝섬한강공원3주차장,112.0,10000.0,10500,127.066866,37.53082
서원주차장,33.0,15000.0,10500,127.082695,37.536474
광진주차장,11.0,0.0,10500,127.086519,37.536965
일승주차장,30.0,20000.0,10500,127.069052,37.540292
자양동52-141노외주차장,5.0,20000.0,10500,127.064221,37.535746
화양동공영주차장,0.0,0.0,10700,127.071213,37.545288
자투리땅주차장제2호,5.0,0.0,10700,127.070697,37.54635
자투리땅주차장제11호,3.0,0.0,10700,127.075284,37.546175
화양느티나무주차장,27.0,40000.0,10700,127.071592,37.54626
화양동마을마당,6.0,0.0,10700,127.076139,37.545201
광진광장공영주차장,33.0,120000.0,10900,127.073259,37.547695
군자동거주자전용야외주차장,12.0,0.0,10900,127.076563,37.553993
동산교회옆부지,10.0,0.0,10900,127.075861,37.555515
동원,35.0,15000.0,10900,127.075623,37.554876
