주차장이름,법정동코드,전일가격,주차면수,경도,위도
갤러리아래아 주차장,10400,0,136,127.10936,37.550397
에이치플레이스골프스튜디오 주차장,10400,0,136,127.10936,37.550397
그랜드워커힐호텔시어터 주차장,10400,0,1027,127.111379,37.555212
프린트베이커리 주차장,10400,0,1027,127.111379,37.555212
워커힐미술관 주차장,10400,0,1027,127.111379,37.555212
서울단풍길 주차장,10400,0,1027,127.111379,37.555212
파라다이스티앤엘 주차장,10400,0,1027,127.111379,37.555212
파라다이스카지노 주차장,10400,0,1027,127.111379,37.555212
브이스파 주차장,10400,0,1027,127.111379,37.555212
그랜드워커힐서울워커힐아이스링크 주차장,10400,0,1027,127.111379,37.555212
제이앤지케이 주차장,10400,0,1027,127.111379,37.555212
그랜드워커힐서울헬스클럽 주차장,10400,0,1027,127.111379,37.555212
BODY119 주차장,10400,0,353,127.104826,37.546952
박물관 주차장,10400,12000,220,127.102154,37.549915
쉐르빌스크린골프 주차장,10300,0,625,127.094805,37.539957
비스코토탈휘트니스강변클럽 주차장,10300,0,625,127.094805,37.539957
CGV 주차장,10300,0,2184,127.095862,37.535675
료칸클럽닷컴 주차장,10300,0,2184,127.095862,37.535675
대성아이엠지코리아 주차장,10300,0,2184,127.095862,37.535675
우즈베키스탄가이드 주차장,10300,0,2184,127.095862,37.535675
투어아트 주차장,10300,0,2184,127.095862,37.535675
온누리여행사 주차장,10300,0,2184,127.095862,37.535675
일성티엔씨 주차장,10300,0,2184,127.095862,37.535675
인포랑 주차장,10300,0,2184,127.095862,37.535675
티엠스크린골프 주차장,10300,0,2184,127.095862,37.535675
비스코토탈휘트니스 주차장,10300,0,2184,127.095862,37.535675
명보투어앤에듀 주차장,10300,0,549,127.092834,37.536061
명보국제항공 주차장,10300,0,549,127.092834,37.536061
오클브라더스 주차장,10300,0,549,127.092834,37.536061
현대프라임스포츠센터 주차장,10300,0,1391,127.095856,37.538705
플레이짐 주차장,10300,0,1391,127.095856,37.538705
퍼스트핏 주차장,10300,0,1391,127.095856,37.538705
제주투어몰 주차장,10300,20000,234,127.090127,37.538627
구름 주차장,10900,0,288,127.071121,37.548421
블럭버스 주차장,10500,0,3862,127.072545,37.537808
우리유황온천 주차장,10500,0,201,127.084186,37.530896
웰플러스골프파크 주차장,10500,0,201,127.084186,37.530896
우정스크린골프 주차장,10500,0,166,127.083091,37.537441
골프베이휘트니스 주차장,10500,0,166,127.083091,37.537441
턴온필라테스 주차장,10500,0,452,127.067989,37.531836
이튼스크린골프 주차장,10500,0,490,127.068156,37.533034
무브필라테스 주차장,10500,0,490,127.068156,37.533034
미소마다 주차장,10500,0,487,127.081524,37.537709
중곡문화체육센터 주차장,10100,0,58,127.084654,37.567795
실로암목욕장 주차장,10100,0,84,127.085563,37.569082
KU시네마테크 주차장,10700,30000,1621,127.07374,37.542642
건국대학교박물관 주차장,10700,30000,1621,127.07374,37.542642
건국대학교서울캠퍼스분수대광장 주차장,10700,30000,1621,127.07374,37.542642
건국대학교서울캠퍼스테니스장 주차장,10700,30000,1621,127.07374,37.542642
어린이대공원 주차장,10200,20000,395,127.076738,37.550749
어린이대공원매표소 주차장,10200,20000,395,127.076738,37.550749
어린이대공원환경연못 주차장,10200,20000,395,127.076738,37.550749
어린이대공원능동소공원 주차장,10200,20000,395,127.076738,37.550749
어린이대공원환경공원 주차장,10200,20000,395,127.076738,37.550749
어린이대공원눈썰매장 주차장,10200,20000,395,127.076738,37.550749
어린이대공원잔디축구장 주차장,10200,20000,395,127.076738,37.550749
서울어린이대공원테니스장 주차장,10200,20000,395,127.076738,37.550749
